log,task,anchor,problem_type,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Healthcare,NE-NPaA,Participant,Multiclass classification,1350,True,f1_macro,0.8168571146703533,0.03173097595083759,0.17073170731707318,5,,
Healthcare,NE-NMPr,Message,Multiclass classification,1350,True,f1_macro,0.6840979404902245,0.02696281733511145,0.022628291336380665,5,,
Healthcare,NV-PrT,CollaborationInstance,Regression (time),1350,True,mae,15.524876303149139,1.2254281952514638,17.312128148148147,5,,
Healthcare,NV-PaT,LocalCase,Regression (time),1350,True,mae,9.048992353350092,1.0616045596277948,12.909785185185186,5,Gynecologist,
Healthcare,NV-NMPr,CollaborationInstance,Count regression,1350,True,mae,1.1554822067827657,0.0467284077969902,1.5644444444444443,5,,
Healthcare,OB-M,Message,Binary classification,1350,True,f1_macro,1.0,0.0,1.0,5,,Communicate disease
Artificial1,NE-NPaA,Participant,Multiclass classification,700,True,f1_macro,0.7657135405601134,0.022985013057513937,0.339569571644256,5,,
Artificial1,NE-NMPr,Message,Multiclass classification,549,True,f1_macro,0.5974357100587752,0.031018165118472718,0.10670752944360515,5,,
Artificial1,NV-PrT,CollaborationInstance,Regression (time),700,True,mae,4.721704315179643,0.5025049255357367,8.586565714285715,5,,
Artificial1,NV-PaT,LocalCase,Regression (time),700,True,mae,4.715093151997863,0.5746559560114644,8.565135714285715,5,PartyA,
Artificial1,NV-NMPr,CollaborationInstance,Count regression,700,True,mae,0.0,0.0,0.7342857142857142,5,,
Artificial1,OB-M,Message,Binary classification,700,True,f1_macro,0.9218125359233875,0.013978518058062692,0.3937451238730011,5,,Activity CZ
Artificial5,NE-NPaA,Participant,Multiclass classification,2260,True,f1_macro,0.5315534716868409,0.06562604902658102,0.17750789872409373,5,,
Artificial5,NE-NMPr,Message,Multiclass classification,2068,True,f1_macro,0.6227931285216776,0.0241767299911594,0.020988211964413327,5,,
Artificial5,NV-PrT,CollaborationInstance,Regression (time),2260,True,mae,11.560978401968814,1.7693578134274741,33.56038407079646,5,,
Artificial5,NV-PaT,LocalCase,Regression (time),2260,True,mae,10.961172178977936,1.6010277222488014,33.493553539823004,5,PartyB,
Artificial5,NV-NMPr,CollaborationInstance,Count regression,2260,True,mae,0.38789515482202985,0.012148613575400076,1.4048672566371683,5,,
Artificial5,OB-M,Message,Binary classification,2260,True,f1_macro,1.0,0.0,0.4940608544269865,5,,Activity AA
Real4,NE-NPaA,Participant,Multiclass classification,1700,True,f1_macro,0.8547582722659257,0.009924180420836409,0.23076923076923075,5,,
Real4,NE-NMPr,Message,Multiclass classification,1600,True,f1_macro,0.916186166300134,0.01898678429666419,0.06574749669947269,5,,
Real4,NV-PrT,CollaborationInstance,Regression (time),1700,True,mae,7.606647953754113,0.7871043663067945,19.395287647058822,5,,
Real4,NV-PaT,LocalCase,Regression (time),1700,True,mae,6.804199720009484,0.563284686281434,18.973931764705885,5,Zoo,
Real4,NV-NMPr,CollaborationInstance,Count regression,1700,True,mae,0.0,0.0,0.9423529411764706,5,,
Real4,OB-M,Message,Binary classification,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
